"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 0","No Confounding",1,"X",0,0.04,0.04
"Scenario 0","No Confounding",2,"X",0,0.04,0.04
"Scenario 0","No Confounding",3,"X",0,0.04,0.04
"Scenario 0","No Confounding",4,"X",0,0.04,0.04
"Scenario 0","No Confounding",5,"X",0,0.04,0.04
"Scenario 1","Stable Confounder Effects",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 1","Stable Confounder Effects",2,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 1","Stable Confounder Effects",3,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 1","Stable Confounder Effects",4,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 1","Stable Confounder Effects",5,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 2","Step",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 2","Step",2,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 2","Step",3,"X",0.564649282121695,0.861308046722465,0.29665876460077
"Scenario 2","Step",4,"X",0.564649282121695,0.881840747890526,0.317191465768832
"Scenario 2","Step",5,"X",0.564649282121695,0.885947288124139,0.321298006002444
"Scenario 3A","Linear",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 3A","Linear",2,"X",0.490276571924881,0.769435875302871,0.27915930337799
"Scenario 3A","Linear",3,"X",0.514484159949726,0.804376466211021,0.289892306261295
"Scenario 3A","Linear",4,"X",0.539275063348664,0.84113700108634,0.301861937737677
"Scenario 3A","Linear",5,"X",0.564649282121695,0.878966169726998,0.314316887605303
"Scenario 3B","Proportional",1,"X",0.466652299274127,0.739978448911191,0.273326149637064
"Scenario 3B","Proportional",2,"X",0.451379819486559,0.720856087654611,0.269476268168052
"Scenario 3B","Proportional",3,"X",0.480602940415002,0.75426546352906,0.273662523114057
"Scenario 3B","Proportional",4,"X",0.434182351975514,0.701321997928166,0.267139645952652
"Scenario 3B","Proportional",5,"X",0.503494475074942,0.779436538511975,0.275942063437032
"Scenario 0","No Confounding",1,"Y",0,0.13,0.13
"Scenario 0","No Confounding",2,"Y",0,0.13,0.13
"Scenario 0","No Confounding",3,"Y",0,0.13,0.13
"Scenario 0","No Confounding",4,"Y",0,0.13,0.13
"Scenario 0","No Confounding",5,"Y",0,0.13,0.13
"Scenario 1","Stable Confounder Effects",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 1","Stable Confounder Effects",2,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 1","Stable Confounder Effects",3,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 1","Stable Confounder Effects",4,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 1","Stable Confounder Effects",5,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 2","Step",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 2","Step",2,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 2","Step",3,"Y",0.243728419636976,0.69094935397618,0.447220934339204
"Scenario 2","Step",4,"Y",0.243728419636976,0.65753075817541,0.413802338538434
"Scenario 2","Step",5,"Y",0.243728419636976,0.648133312864134,0.404404893227158
"Scenario 3A","Linear",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 3A","Linear",2,"Y",0.308468781103048,0.795342332234652,0.486873551131604
"Scenario 3A","Linear",3,"Y",0.243728419636976,0.673454889289601,0.429726469652625
"Scenario 3A","Linear",4,"Y",0.18660457128456,0.559102682837207,0.372498111552647
"Scenario 3A","Linear",5,"Y",0.137097236045799,0.456891443324917,0.319794207279118
"Scenario 3B","Proportional",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 3B","Proportional",2,"Y",0.367613385590931,0.887200345576265,0.519586959985334
"Scenario 3B","Proportional",3,"Y",0.394998060145007,0.924103078717139,0.529105018572132
"Scenario 3B","Proportional",4,"Y",0.348004769273839,0.860186732259228,0.512181962985389
"Scenario 3B","Proportional",5,"Y",0.424700675151088,0.962477895262464,0.537777220111376
"Scenario 4A","Part-Step",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 4A","Part-Step",2,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 4A","Part-Step",3,"X",0.509732501419841,0.793335646625273,0.283603145205432
"Scenario 4A","Part-Step",4,"X",0.509732501419841,0.802346131028864,0.292613629609023
"Scenario 4A","Part-Step",5,"X",0.509732501419841,0.804148227909582,0.294415726489741
"Scenario 5A","Part-Linear",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 5A","Part-Linear",2,"X",0.477052558584511,0.752947957113667,0.275895398529156
"Scenario 5A","Part-Linear",3,"X",0.487699345378924,0.768318002907458,0.280618657528534
"Scenario 5A","Part-Linear",4,"X",0.498592659657368,0.784473850299709,0.285881190642342
"Scenario 5A","Part-Linear",5,"X",0.509732501419841,0.801084663212361,0.29135216179252
"Scenario 5C","Part-Proportional",1,"X",0.466652299274127,0.739978448911191,0.273326149637064
"Scenario 5C","Part-Proportional",2,"X",0.459923175885026,0.731553621253309,0.271630445368283
"Scenario 5C","Part-Proportional",3,"X",0.472795114841785,0.746270236825127,0.273475121983342
"Scenario 5C","Part-Proportional",4,"X",0.452340274776372,0.722942899917554,0.270602625141182
"Scenario 5C","Part-Proportional",5,"X",0.482867191173306,0.757349802397997,0.274482611224691
"Scenario 4B","Part-Step Opposite",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 4B","Part-Step Opposite",2,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 4B","Part-Step Opposite",3,"X",0.473953302497453,0.748619969762031,0.274666667264578
"Scenario 4B","Part-Step Opposite",4,"X",0.473953302497453,0.75046795694935,0.276514654451897
"Scenario 4B","Part-Step Opposite",5,"X",0.473953302497453,0.750837554386814,0.276884251889361
"Scenario 5B","Part-Linear Opposite",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 5B","Part-Linear Opposite",2,"X",0.468114000196221,0.741775279240163,0.273661279043942
"Scenario 5B","Part-Linear Opposite",3,"X",0.469818067707473,0.74417952631946,0.274361458611987
"Scenario 5B","Part-Linear Opposite",4,"X",0.471764501807884,0.747005791319379,0.275241289511495
"Scenario 5B","Part-Linear Opposite",5,"X",0.473953302497453,0.750209238743126,0.276255936245672
"Scenario 5D","Part-Proportional Opposite",1,"X",0.466652299274127,0.739978448911191,0.273326149637064
"Scenario 5D","Part-Proportional Opposite",2,"X",0.465820345083088,0.738925309311612,0.273104964228524
"Scenario 5D","Part-Proportional Opposite",3,"X",0.467490582362402,0.740819695492289,0.273329113129887
"Scenario 5D","Part-Proportional Opposite",4,"X",0.464996407536268,0.737939816922691,0.272943409386423
"Scenario 5D","Part-Proportional Opposite",5,"X",0.469019539121995,0.74241028679621,0.273390747674214
"Scenario 6","Chaotic Effects",1,"X",0.466652299274128,0.739978448911191,0.273326149637064
"Scenario 6","Chaotic Effects",2,"X",0.52137975291907,0.805441288724602,0.284061535805533
"Scenario 6","Chaotic Effects",3,"X",0.495520814212531,0.780614211140715,0.285093396928184
"Scenario 6","Chaotic Effects",4,"X",0.497543456767672,0.778979926563975,0.281436469796303
"Scenario 6","Chaotic Effects",5,"X",0.485221764687274,0.763571244731111,0.278349480043837
"Scenario 4A","Part-Step",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 4A","Part-Step",2,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 4A","Part-Step",3,"Y",0.316330256819989,0.803823991671063,0.487493734851074
"Scenario 4A","Part-Step",4,"Y",0.316330256819989,0.788298608346815,0.471968351526826
