"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 0","No Confounding",1,"X",0,0.04,0.04
"Scenario 0","No Confounding",2,"X",0,0.04,0.04
"Scenario 0","No Confounding",3,"X",0,0.04,0.04
"Scenario 0","No Confounding",4,"X",0,0.04,0.04
"Scenario 0","No Confounding",5,"X",0,0.04,0.04
"Scenario 1","Stable Confounder Effects",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 1","Stable Confounder Effects",2,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 1","Stable Confounder Effects",3,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 1","Stable Confounder Effects",4,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 1","Stable Confounder Effects",5,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 2","Step",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 2","Step",2,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 2","Step",3,"X",0.394321192886638,0.585983190150729,0.191661997264091
"Scenario 2","Step",4,"X",0.394321192886638,0.622382069494111,0.228060876607473
"Scenario 2","Step",5,"X",0.394321192886638,0.629661845362788,0.23534065247615
"Scenario 3A","Linear",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 3A","Linear",2,"X",0.269637531674332,0.435050337104254,0.165412805429922
"Scenario 3A","Linear",3,"X",0.308573832895017,0.490786121098807,0.18221228820379
"Scenario 3A","Linear",4,"X",0.350135053299119,0.551911739149977,0.201776685850858
"Scenario 3A","Linear",5,"X",0.394321192886638,0.617286226386038,0.2229650334994
"Scenario 3B","Proportional",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 3B","Proportional",2,"X",0.188155140371927,0.332918581558968,0.144763441187042
"Scenario 3B","Proportional",3,"X",0.28211935138135,0.439934198738859,0.157814847357508
"Scenario 3B","Proportional",4,"X",0.135707101393564,0.270316290091941,0.134609188698377
"Scenario 3B","Proportional",5,"X",0.382903023471723,0.545868146053436,0.162965122581714
"Scenario 0","No Confounding",1,"Y",0,0.13,0.13
"Scenario 0","No Confounding",2,"Y",0,0.13,0.13
"Scenario 0","No Confounding",3,"Y",0,0.13,0.13
"Scenario 0","No Confounding",4,"Y",0,0.13,0.13
"Scenario 0","No Confounding",5,"Y",0,0.13,0.13
"Scenario 1","Stable Confounder Effects",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 1","Stable Confounder Effects",2,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 1","Stable Confounder Effects",3,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 1","Stable Confounder Effects",4,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 1","Stable Confounder Effects",5,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 2","Step",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 2","Step",2,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 2","Step",3,"Y",0.0685486180228996,0.317506468400101,0.248957850377201
"Scenario 2","Step",4,"Y",0.0685486180228996,0.293620271728815,0.225071653705915
"Scenario 2","Step",5,"Y",0.0685486180228996,0.287161062835004,0.218612444812104
"Scenario 3A","Linear",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 3A","Linear",2,"Y",0.121864209818488,0.41047467698809,0.288610467169602
"Scenario 3A","Linear",3,"Y",0.0685486180228996,0.30468005742999,0.23613143940709
"Scenario 3A","Linear",4,"Y",0.030466052454622,0.220221897569848,0.189755845115226
"Scenario 3A","Linear",5,"Y",0.0076165131136555,0.16163986318523,0.154023350071575
"Scenario 3B","Proportional",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 3B","Proportional",2,"Y",0.20993014269513,0.548106380855232,0.338176238160102
"Scenario 3B","Proportional",3,"Y",0.150826000933163,0.460582232141442,0.309756231208279
"Scenario 3B","Proportional",4,"Y",0.336821251168631,0.717344746627589,0.380523495458958
"Scenario 3B","Proportional",5,"Y",0.00839720570780519,0.186413013579333,0.178015807871528
"Scenario 4A","Part-Step",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 4A","Part-Step",2,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 4A","Part-Step",3,"X",0.303863112472359,0.475941680643443,0.172078568171084
"Scenario 4A","Part-Step",4,"X",0.303863112472359,0.491824071095519,0.18796095862316
"Scenario 4A","Part-Step",5,"X",0.303863112472359,0.495000549185934,0.191137436713575
"Scenario 5A","Part-Linear",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 5A","Part-Linear",2,"X",0.249296329828684,0.409813277985354,0.16051694815667
"Scenario 5A","Part-Linear",3,"X",0.266375883698439,0.434273553335012,0.167897669636573
"Scenario 5A","Part-Linear",4,"X",0.284564811246331,0.461036696409539,0.176471885163208
"Scenario 5A","Part-Linear",5,"X",0.303863112472359,0.489600536432228,0.18573742395987
"Scenario 5C","Part-Proportional",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 5C","Part-Proportional",2,"X",0.213387027455133,0.364808834533797,0.151421807078664
"Scenario 5C","Part-Proportional",3,"X",0.254776161643644,0.411963442540807,0.157187280897163
"Scenario 5C","Part-Proportional",4,"X",0.190094916935038,0.337075493852632,0.146980576917593
"Scenario 5C","Part-Proportional",5,"X",0.298879725927264,0.458422145035254,0.15954241910799
"Scenario 4B","Part-Step Opposite",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 4B","Part-Step Opposite",2,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 4B","Part-Step Opposite",3,"X",0.250094452611863,0.408768303871665,0.158673851259803
"Scenario 4B","Part-Step Opposite",4,"X",0.250094452611863,0.413867003908568,0.163772551296706
"Scenario 4B","Part-Step Opposite",5,"X",0.250094452611863,0.414886743915949,0.164792291304086
"Scenario 5B","Part-Linear Opposite",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 5B","Part-Linear Opposite",2,"X",0.235882250903942,0.393048019832791,0.15716576892885
"Scenario 5B","Part-Linear Opposite",3,"X",0.239529001822034,0.398035880009942,0.158506878187907
"Scenario 5B","Part-Linear Opposite",4,"X",0.244266402391341,0.404761958714589,0.160495556323247
"Scenario 5B","Part-Linear Opposite",5,"X",0.250094452611863,0.413153185903402,0.163058733291539
"Scenario 5D","Part-Proportional Opposite",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 5D","Part-Proportional Opposite",2,"X",0.231600126474379,0.387579537302878,0.1559794108285
"Scenario 5D","Part-Proportional Opposite",3,"X",0.236958186888315,0.39334794818891,0.156389761300595
"Scenario 5D","Part-Proportional Opposite",4,"X",0.232424395472507,0.387192223446088,0.154767827973581
"Scenario 5D","Part-Proportional Opposite",5,"X",0.248518113931904,0.403462875105834,0.15494476117393
"Scenario 6","Chaotic Effects",1,"X",0.233326149637064,0.389989224455596,0.156663074818532
"Scenario 6","Chaotic Effects",2,"X",0.433144543173719,0.61992537045116,0.186780827277441
"Scenario 6","Chaotic Effects",3,"X",0.389138489696846,0.586680149657567,0.197541659960721
"Scenario 6","Chaotic Effects",4,"X",0.397773856223155,0.589895803252706,0.192121947029551
"Scenario 6","Chaotic Effects",5,"X",0.370995621364419,0.559129576399258,0.188133955034838
"Scenario 4A","Part-Step",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 4A","Part-Step",2,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 4A","Part-Step",3,"Y",0.132645965094551,0.421876615983623,0.289230650889072
"Scenario 4A","Part-Step",4,"Y",0.132645965094551,0.410675510701968,0.278029545607417
