"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",2.90190029248826e-13
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0357315506800671
"CLPM",2,"Scenario~2","Step","Scenario 2",0.0357315506798807
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0327244736737349
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0355229552694782
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0357315506798807
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0357315506798297
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0328169114271787
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0382508002383722
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.035381635748042
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0339536816602283
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.027138086314349
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",4.48796114189167e-14
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0357315506786836
"CLPM",3,"Scenario~2","Step","Scenario 2",0.0333798419014117
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0321738202064567
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0436566313545895
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0340229149583312
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0378777532253984
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0259588796077329
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0398027202855105
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0378137631204528
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0369078868906134
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0653952865026205
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",2.95478283686418e-13
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0357315506814126
"CLPM",4,"Scenario~2","Step","Scenario 2",0.0830122499091696
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0537084568046951
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0607813535961822
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0407781221702546
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0295191310435493
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0244824300701861
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0392430377700854
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0498686271392354
