"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",6.25248044345185e-11
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.409124269926563
"CLPM",2,"Scenario~2","Step","Scenario 2",0.409124176691002
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.39162535439177
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.40214536026005
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.409124269458834
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.409124262758432
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.401225019525198
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.408722917583702
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.406154886285432
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.408980869215832
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.431761118620374
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.343194021049e-11
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.409124269904875
"CLPM",3,"Scenario~2","Step","Scenario 2",0.386351519426209
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.371509015392888
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.410853963477185
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.3976374212787
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.410481135269265
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.390286465463717
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.410128420243987
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.40989503783488
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.40921786921742
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.432916374313098
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.24851053214534e-11
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.409124269914446
"CLPM",4,"Scenario~2","Step","Scenario 2",0.395960012195499
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.364104740852259
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.39617787668178
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.39656578569352
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.415704826348393
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.38242853858096
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.414587074261025
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.40356657327158
