"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",6.55617782285844e-11
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0589063321349362
"CLPM",2,"Scenario~2","Step","Scenario 2",0.0589066841653986
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0530156989678388
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0578754712321788
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0589063339009541
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0589063591992829
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0603820130376385
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0563357846650788
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0591645506710336
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0584564869894867
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0833311858071572
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.65130034382955e-11
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0589063322168272
"CLPM",3,"Scenario~2","Step","Scenario 2",0.0471250657458419
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.021579918868112
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0598655713645287
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.061857693881251
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0640474457413354
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0492220909237705
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0547540822415881
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0589985112913643
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0603318766248783
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0702604318507149
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.30915417395627e-11
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0589063321806985
"CLPM",4,"Scenario~2","Step","Scenario 2",0.0144341184980064
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00948815462576089
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0564183633945307
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0305709029669477
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.063688482336057
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0380367289592095
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0566525629068266
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0593059338986053
