"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",6.252479970532e-11
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.079714981484321
"CLPM",2,"Scenario~2","Step","Scenario 2",0.0797151506164781
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0791119122636058
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0783779275225244
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0797149823328011
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0797149944871264
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0815954800073704
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0798686336856283
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0789321988837524
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0788408171555431
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0918287744015392
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.34319635781937e-11
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0797149815236641
"CLPM",3,"Scenario~2","Step","Scenario 2",0.0818534132641708
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0486156834939047
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0812677582840509
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0861593288855924
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0859074656584873
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0666559674348587
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0814447752888928
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0802273662848601
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0813073966739616
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0755949267011979
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.2485105315661e-11
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0797149815063068
"CLPM",4,"Scenario~2","Step","Scenario 2",0.0141850973444307
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0168740481887749
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0760662583171122
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0447819521183341
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0811348496248039
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0481813661516442
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.084608769189161
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0780232056444862
