"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",6.25248044345185e-11
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.204562134957089
"CLPM",2,"Scenario~2","Step","Scenario 2",0.20456213495689
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.190556628974986
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.201648035912385
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.204562134957015
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.204562134957094
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.197818349711489
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.204210199173207
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.20333876256148
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.204514941162671
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.198697610773905
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.343194021049e-11
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.204562134956741
"CLPM",3,"Scenario~2","Step","Scenario 2",0.19911709311107
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.190167014172953
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.19768295470259
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.198328586378686
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.206153832401445
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.19288612128542
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.207973344011797
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.201649856587941
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.204049914838677
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.220154069029025
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.24851053214534e-11
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.204562134956585
"CLPM",4,"Scenario~2","Step","Scenario 2",0.260315324272018
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.217345901594941
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.215131300233079
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.214823793519442
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.218276980788233
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.196918511374625
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.218267766732548
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.208387186817153
