"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X2","~","X1",0.20000000008922,0.0505964426001857,3.9528470740448,"model_covariates",2,"auto","X[t-1] -> X[t]",0.20000000008922,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y2","~","Y1",0.299999999901413,0.0481663782556375,6.22841099468176,"model_covariates",2,"auto","Y[t-1] -> Y[t]",0.299999999901413,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X2","~","X1",0.200000000029887,0.050596442520583,3.9528470790911,"model_clpm",2,"auto","X[t-1] -> X[t]",0.20000000008922,-5.93325943931688e-11,-2.96662971833503e-08,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y2","~","Y1",0.299999999966975,0.0481663785861809,6.22841095330024,"model_clpm",2,"auto","Y[t-1] -> Y[t]",0.299999999901413,6.55617782285844e-11,2.18539260833765e-08,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X2","~","X1",0.200000000031402,0.0505964425200146,3.95284707916545,"model_clpm_lag2",2,"auto","X[t-1] -> X[t]",0.20000000008922,-5.78173620091604e-11,-2.89086809916841e-08,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y2","~","Y1",0.299999999965301,0.0481663785848612,6.22841095343613,"model_clpm_lag2",2,"auto","Y[t-1] -> Y[t]",0.299999999901413,6.38875063962985e-11,2.12958354724311e-08,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X2","~","X1",0.200000009392864,0.058571877240801,3.41460815009604,"model_dpm",2,"auto","X[t-1] -> X[t]",0.20000000008922,9.30364396634076e-09,4.65182198109521e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y2","~","Y1",0.299999994212686,0.0561094665247214,5.34669125896088,"model_dpm",2,"auto","Y[t-1] -> Y[t]",0.299999999901413,-5.68872698947231e-09,-1.89624233044725e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X2","~","X1",0.197224229115071,NA,NA,"model_dpm_free",2,"auto","X[t-1] -> X[t]",0.20000000008922,-0.00277577097414894,-1.38788548645534,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y2","~","Y1",0.292879595943194,NA,NA,"model_dpm_free",2,"auto","Y[t-1] -> Y[t]",0.299999999901413,-0.00712040395821917,-2.37346798685303,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
