"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",6.55617782285844e-11
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0294531660889438
"CLPM",2,"Scenario~2","Step","Scenario 2",0.029453166098378
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0235625328716963
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0309258243944084
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0294531660911336
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0294531660893306
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0309288469406241
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0268826221466263
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0290842458776868
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.030095802077216
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0371891302883233
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.65130034382955e-11
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0294531660969828
"CLPM",3,"Scenario~2","Step","Scenario 2",0.0176718987834461
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00344987747573239
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0437418051891032
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.032404527790102
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0345942539822883
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0215331762495824
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.026995288514202
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0396874449808287
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0309015501806665
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0149074083241667
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.30915417395627e-11
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0294531661020522
"CLPM",4,"Scenario~2","Step","Scenario 2",0.0363491379659313
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0200165834284055
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00846159114292326
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00368905179963051
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0372285744018419
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0167620023539562
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0340785720555477
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0114967975395989
