"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",6.252479970532e-11
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0398574907517293
"CLPM",2,"Scenario~2","Step","Scenario 2",0.0398574907593484
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0401521977426798
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.037543297476133
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.039857490753529
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0398574907520115
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0424069186948698
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0405963861071337
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0370255913896798
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0379455907928601
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0492284221857333
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.34319635781937e-11
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0398574907584787
"CLPM",3,"Scenario~2","Step","Scenario 2",0.0459117281777402
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00866228950979296
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0629194216472876
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0490593229405908
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0482019258567142
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0266280744230657
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0429757850753918
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0535136197875453
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0431275326374054
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0398276768684293
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.2485105315661e-11
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.039857490762634
"CLPM",4,"Scenario~2","Step","Scenario 2",0.0534242502316821
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0338268499492047
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.012397630063286
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00444381999023213
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0411734747901837
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0119307094793837
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0478783029852025
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0202794010302082
