"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"True Model",2,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",2,"Scenario~2","Step","Scenario 2",0
"True Model",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",2,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",3,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",3,"Scenario~2","Step","Scenario 2",0
"True Model",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",3,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",4,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",4,"Scenario~2","Step","Scenario 2",0
"True Model",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",4,"Scenario~6","Chaotic~Effects","Scenario 6",0
"True Model",5,"Scenario~0","No~Confounding","Scenario 0",0
"True Model",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0
"True Model",5,"Scenario~2","Step","Scenario 2",0
"True Model",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0
"True Model",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0
"True Model",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0
"True Model",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0
"True Model",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0
"True Model",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0
"True Model",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0
"True Model",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0
"True Model",5,"Scenario~6","Chaotic~Effects","Scenario 6",0
"CLPM",2,"Scenario~0","No~Confounding","Scenario 0",2.90199370959459e-13
"CLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.210001383709693
"CLPM",2,"Scenario~2","Step","Scenario 2",0.210001383709691
"CLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.202039702878979
"CLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.203440084353133
"CLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.21000138370969
"CLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.210001383709692
"CLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.20569187641691
"CLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.210066016079076
"CLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.207194201765883
"CLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.209667718637328
"CLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.216742653980608
"CLPM",3,"Scenario~0","No~Confounding","Scenario 0",4.48934874185665e-14
"CLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.210001383709718
"CLPM",3,"Scenario~2","Step","Scenario 2",0.219921355026352
"CLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.211808487449275
"CLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.203609892554717
"CLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.210489149863063
"CLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.211725013587689
"CLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.206072966246536
"CLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.213682140978663
"CLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.206955574344107
"CLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.209421531833427
"CLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.245851341280211
"CLPM",4,"Scenario~0","No~Confounding","Scenario 0",2.95459882042336e-13
"CLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.210001383709647
"CLPM",4,"Scenario~2","Step","Scenario 2",0.289753901600159
"CLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.242260314419916
"CLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.214207610654113
"CLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.234084623927454
"CLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.224117419255909
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.213537498430089
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.222563755795886
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.21165910603503
