"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X2","~","X1",0.199999999999822,0.0491934965544651,4.06557805417206,"model_covariates",2,"auto","X[t-1] -> X[t]",0.199999999999822,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y2","~","Y1",0.300000000000186,0.0481663784028242,6.22841097769967,"model_covariates",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X2","~","X1",0.200000000000106,0.0491934956844732,4.06557812607798,"model_clpm",2,"auto","X[t-1] -> X[t]",0.199999999999822,2.8332891588434e-13,1.41664457942296e-10,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y2","~","Y1",0.299999999999889,0.0481663783183117,6.22841098862184,"model_clpm",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,-2.96929147935998e-13,-9.89763826452713e-11,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X2","~","X1",0.199999999999825,0.0491934956844709,4.06557812607247,"model_clpm_lag2",2,"auto","X[t-1] -> X[t]",0.199999999999822,3.10862446895044e-15,1.5543122344766e-12,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y2","~","Y1",0.300000000000183,0.0481663783183091,6.22841098862827,"model_clpm_lag2",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,-3.21964677141295e-15,-1.07321559047032e-12,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X2","~","X1",0.19999998628508,0.0569788425322238,3.51007457148628,"model_dpm",2,"auto","X[t-1] -> X[t]",0.199999999999822,-1.37147427581308e-08,-6.85737137907148e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y2","~","Y1",0.300000012478513,0.0560960005363488,5.34797507148697,"model_dpm",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,1.24783263166783e-08,4.15944210555686e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X2","~","X1",0.187673278220838,NA,NA,"model_dpm_free",2,"auto","X[t-1] -> X[t]",0.199999999999822,-0.0123267217789841,-6.1633608894975,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y2","~","Y1",0.281614090008435,NA,NA,"model_dpm_free",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,-0.018385909991751,-6.12863666391321,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X2","~","X1",0.200000010927901,0.0542159859334823,3.68894907072761,"model_riclpm",2,"auto","X[t-1] -> X[t]",0.199999999999822,1.09280787197186e-08,5.46403935986414e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y2","~","Y1",0.29999999006408,0.0540620609060199,5.5491778344446,"model_riclpm",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,-9.93610654864696e-09,-3.3120355162136e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X2","~","X1",0.0528051082348606,NA,NA,"model_riclpm_free",2,"auto","X[t-1] -> X[t]",0.199999999999822,-0.147194891764962,-73.5974458825463,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y2","~","Y1",0.0977391050815215,NA,NA,"model_riclpm_free",2,"auto","Y[t-1] -> Y[t]",0.300000000000186,-0.202260894918665,-67.4202983061797,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X3","~","X2",0.199999999999999,0.0491934955313989,4.06557813872657,"model_covariates",3,"auto","X[t-1] -> X[t]",0.199999999999999,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y3","~","Y2",0.300000000000001,0.0481663782381515,6.22841099898971,"model_covariates",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X3","~","X2",0.200000000000042,0.049193495526704,4.06557813911547,"model_clpm",3,"auto","X[t-1] -> X[t]",0.199999999999999,4.38260538970781e-14,2.19130269485392e-11,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y3","~","Y2",0.299999999999956,0.0481663783204441,6.22841098834747,"model_clpm",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,-4.59632332194815e-14,-1.53210777398271e-11,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X3","~","X2",0.200000000004348,0.0500040080454356,3.99967938215313,"model_clpm_lag2",3,"auto","X[t-1] -> X[t]",0.199999999999999,4.34943747684713e-12,2.17471873842358e-09,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y3","~","Y2",0.299999999995209,0.0500040080454359,5.99951907300341,"model_clpm_lag2",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,-4.79294381960926e-12,-1.59764793986975e-09,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X3","~","X2",0.200000006478169,0.0589773453701346,3.39113273449312,"model_dpm",3,"auto","X[t-1] -> X[t]",0.199999999999999,6.47817094412417e-09,3.23908547206211e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y3","~","Y2",0.300000000599219,0.0598823588593772,5.0098226975947,"model_dpm",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,5.99217564456467e-10,1.99739188152155e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X3","~","X2",0.0661318232670054,NA,NA,"model_dpm_free",3,"auto","X[t-1] -> X[t]",0.199999999999999,-0.133868176732993,-66.934088366497,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y3","~","Y2",0.161775750728892,NA,NA,"model_dpm_free",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,-0.13822424927111,-46.0747497570363,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X3","~","X2",0.199999990650306,0.0542159852667151,3.68894874208055,"model_riclpm",3,"auto","X[t-1] -> X[t]",0.199999999999999,-9.34969257571083e-09,-4.67484628785545e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y3","~","Y2",0.300000009521492,0.0540620608096115,5.54917820424921,"model_riclpm",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,9.52149026289817e-09,3.17383008763271e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X3","~","X2",0.0259581533575648,NA,NA,"model_riclpm_free",3,"auto","X[t-1] -> X[t]",0.199999999999999,-0.174041846642434,-87.0209233212175,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y3","~","Y2",0.0924302561404522,NA,NA,"model_riclpm_free",3,"auto","Y[t-1] -> Y[t]",0.300000000000001,-0.207569743859549,-69.1899146198494,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X4","~","X3",0.200000000000125,0.0491934955163203,4.0655781399753,"model_covariates",4,"auto","X[t-1] -> X[t]",0.200000000000125,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y4","~","Y3",0.299999999999869,0.0481663782614948,6.22841099596843,"model_covariates",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X4","~","X3",0.199999999999836,0.0491934955218264,4.06557813951439,"model_clpm",4,"auto","X[t-1] -> X[t]",0.200000000000125,-2.88463697373231e-13,-1.44231848686526e-10,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y4","~","Y3",0.300000000000172,0.0481663783203723,6.22841098836124,"model_clpm",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,3.02258218454199e-13,1.00752739484777e-10,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
