"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 0","No Confounding",1,"X",0,0.0925,0.0925
"Scenario 0","No Confounding",2,"X",0,0.0925,0.0925
"Scenario 0","No Confounding",3,"X",0,0.0925,0.0925
"Scenario 0","No Confounding",4,"X",0,0.0925,0.0925
"Scenario 0","No Confounding",5,"X",0,0.0925,0.0925
"Scenario 1","Stable Confounder Effects",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 1","Stable Confounder Effects",2,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 1","Stable Confounder Effects",3,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 1","Stable Confounder Effects",4,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 1","Stable Confounder Effects",5,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 2","Step",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 2","Step",2,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 2","Step",3,"X",0.394321192886638,0.729586916062242,0.335265723175604
"Scenario 2","Step",4,"X",0.394321192886638,0.750675043074837,0.356353850188199
"Scenario 2","Step",5,"X",0.394321192886638,0.753029358728873,0.358708165842236
"Scenario 3A","Linear",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 3A","Linear",2,"X",0.269637531674332,0.562886110454158,0.293248578779827
"Scenario 3A","Linear",3,"X",0.308573832895017,0.61710581510499,0.308531982209973
"Scenario 3A","Linear",4,"X",0.350135053299119,0.672868286453826,0.322733233154707
"Scenario 3A","Linear",5,"X",0.394321192886638,0.73054178878883,0.336220595902192
"Scenario 3B","Proportional",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 3B","Proportional",2,"X",0.188155140371927,0.448350232227075,0.260195091855148
"Scenario 3B","Proportional",3,"X",0.28211935138135,0.571112752523602,0.288993401142251
"Scenario 3B","Proportional",4,"X",0.135707101393564,0.37380875858536,0.238101657191795
"Scenario 3B","Proportional",5,"X",0.382903023471723,0.699155267093798,0.316252243622076
"Scenario 0","No Confounding",1,"Y",0,0.13,0.13
"Scenario 0","No Confounding",2,"Y",0,0.13,0.13
"Scenario 0","No Confounding",3,"Y",0,0.13,0.13
"Scenario 0","No Confounding",4,"Y",0,0.13,0.13
"Scenario 0","No Confounding",5,"Y",0,0.13,0.13
"Scenario 1","Stable Confounder Effects",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 1","Stable Confounder Effects",2,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 1","Stable Confounder Effects",3,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 1","Stable Confounder Effects",4,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 1","Stable Confounder Effects",5,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 2","Step",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 2","Step",2,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 2","Step",3,"Y",0.0685486180228996,0.327069401715336,0.258520783692436
"Scenario 2","Step",4,"Y",0.0685486180228996,0.30318320504405,0.23463458702115
"Scenario 2","Step",5,"Y",0.0685486180228996,0.295353023789781,0.226804405766881
"Scenario 3A","Linear",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 3A","Linear",2,"Y",0.121864209818488,0.423225254741736,0.301361044923248
"Scenario 3A","Linear",3,"Y",0.0685486180228996,0.314242990745224,0.245694372722325
"Scenario 3A","Linear",4,"Y",0.030466052454622,0.226140195659852,0.19567414320523
"Scenario 3A","Linear",5,"Y",0.0076165131136555,0.164192137085267,0.156575623971612
"Scenario 3B","Proportional",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 3B","Proportional",2,"Y",0.20993014269513,0.564841514156893,0.354911371461763
"Scenario 3B","Proportional",3,"Y",0.150826000933163,0.474767249892374,0.323941248959211
"Scenario 3B","Proportional",4,"Y",0.336821251168631,0.738922455734569,0.402101204565939
"Scenario 3B","Proportional",5,"Y",0.00839720570780519,0.189669761330377,0.181272555622572
"Scenario 4A","Part-Step",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 4A","Part-Step",2,"X",0.233326149637064,0.512569013618298,0.279242863981234
